lemma,categ,categ_alt,Contentword,proposed_lemma,proposed_categ,proposed_CW
1,XXX,n,Y,,,N
1909,XXX,n,Y,,,N
1920,XXX,n,Y,,,N
2,XXX,n,Y,,,N
325,XXX,n,Y,,,N
3251,XXX,n,Y,,,N
326,XXX,n,Y,,,N
327,XXX,n,Y,,,N
328,XXX,n,Y,,,N
329,XXX,n,Y,,,N
330,XXX,n,Y,,,N
Ah,ONO,adv,N,,,N
Ah,ONO,n,N,,,N
Admire,VER,n,Y,admirer,VER,Y
612,XXX,n,Y,,,N
Acheva,VER,np,Y,achever,VER,Y
Admirer,VER,np,Y,admirer,VER,Y
Afrique,XXX,np,Y,Afrique,NOM,Y
Allons,VER,n,Y,aller,VER,Y
Amérique,NOM,np,Y,Amérique,NOM,Y
Arizona,XXX,np,Y,Arizona,NOM,Y
Astronomie,NOM,np,Y,astronomie,NOM,Y
Australie,XXX,np,Y,Australie,NOM,Y
B,NOM,n,Y,,,N
B,NOM,np,Y,,,N
Ben,NOM,v,Y,,,N
Bonjour,NOM,np,Y,Bonjour,NOM,Y
Bonjour,XXX,np,Y,Bonjour,NOM,Y
Bonsoir,NOM,np,Y,Bonsoir,NOM,Y
Car,CON,np,Y,,,N
Chine,NOM,np,Y,Chine,NOM,Y
Cinq,ADJ,np,Y,cinq,ADJ,Y
Combien,ADV,adv,Y,combien,ADV,Y
Comme,CON,adv,Y,comme,ADV,Y
Comment,ADV,adv,Y,comment,ADV,Y
Crois,VER,n,Y,croire,VER,Y
Demandez,VER,np,Y,demander,VER,Y
Dessine,VER,np,Y,dessiner,VER,Y
Dieu,NOM,np,Y,dieu,NOM,Y
Dis,VER,np,Y,dire,VER,Y
Europe,XXX,np,Y,Europe,NOM,Y
Exact,ADJ,n,Y,exact,ADJ,Y
Fais,VER,n,Y,faire,VER,Y
Faites,VER,n,Y,faire,VER,Y
France,XXX,np,Y,France,NOM,Y
Hein,ONO,np,Y,,,N
Hem,ONO,n,Y,,,N
Honte,NOM,np,Y,honte,NOM,Y
Hum,ONO,np,Y,,,N
Interrogea,VER,n,Y,interroger,VER,Y
Jupiter,XXX,np,Y,Jupiter,NOM,Y
